1,Afghanistan,2006-02-15T04:44:00.000+05:30
2,Algeria,2006-02-15T04:44:00.000+05:30
3,American Samoa,2006-02-15T04:44:00.000+05:30
4,Angola,2006-02-15T04:44:00.000+05:30
5,Anguilla,2006-02-15T04:44:00.000+05:30
6,Argentina,2006-02-15T04:44:00.000+05:30
7,Armenia,2006-02-15T04:44:00.000+05:30
8,Australia,2006-02-15T04:44:00.000+05:30
9,Austria,2006-02-15T04:44:00.000+05:30
10,Azerbaijan,2006-02-15T04:44:00.000+05:30
11,Bahrain,2006-02-15T04:44:00.000+05:30
12,Bangladesh,2006-02-15T04:44:00.000+05:30
13,Belarus,2006-02-15T04:44:00.000+05:30
14,Bolivia,2006-02-15T04:44:00.000+05:30
15,Brazil,2006-02-15T04:44:00.000+05:30
16,Brunei,2006-02-15T04:44:00.000+05:30
17,Bulgaria,2006-02-15T04:44:00.000+05:30
18,Cambodia,2006-02-15T04:44:00.000+05:30
19,Cameroon,2006-02-15T04:44:00.000+05:30
20,Canada,2006-02-15T04:44:00.000+05:30
21,Chad,2006-02-15T04:44:00.000+05:30
22,Chile,2006-02-15T04:44:00.000+05:30
23,China,2006-02-15T04:44:00.000+05:30
24,Colombia,2006-02-15T04:44:00.000+05:30
25,"Congo, The Democratic Republic of the",2006-02-15T04:44:00.000+05:30
26,Czech Republic,2006-02-15T04:44:00.000+05:30
27,Dominican Republic,2006-02-15T04:44:00.000+05:30
28,Ecuador,2006-02-15T04:44:00.000+05:30
29,Egypt,2006-02-15T04:44:00.000+05:30
30,Estonia,2006-02-15T04:44:00.000+05:30
31,Ethiopia,2006-02-15T04:44:00.000+05:30
32,Faroe Islands,2006-02-15T04:44:00.000+05:30
33,Finland,2006-02-15T04:44:00.000+05:30
34,France,2006-02-15T04:44:00.000+05:30
35,French Guiana,2006-02-15T04:44:00.000+05:30
36,French Polynesia,2006-02-15T04:44:00.000+05:30
37,Gambia,2006-02-15T04:44:00.000+05:30
38,Germany,2006-02-15T04:44:00.000+05:30
39,Greece,2006-02-15T04:44:00.000+05:30
40,Greenland,2006-02-15T04:44:00.000+05:30
41,Holy See (Vatican City State),2006-02-15T04:44:00.000+05:30
42,Hong Kong,2006-02-15T04:44:00.000+05:30
43,Hungary,2006-02-15T04:44:00.000+05:30
44,India,2006-02-15T04:44:00.000+05:30
45,Indonesia,2006-02-15T04:44:00.000+05:30
46,Iran,2006-02-15T04:44:00.000+05:30
47,Iraq,2006-02-15T04:44:00.000+05:30
48,Israel,2006-02-15T04:44:00.000+05:30
49,Italy,2006-02-15T04:44:00.000+05:30
50,Japan,2006-02-15T04:44:00.000+05:30
51,Kazakstan,2006-02-15T04:44:00.000+05:30
52,Kenya,2006-02-15T04:44:00.000+05:30
53,Kuwait,2006-02-15T04:44:00.000+05:30
54,Latvia,2006-02-15T04:44:00.000+05:30
55,Liechtenstein,2006-02-15T04:44:00.000+05:30
56,Lithuania,2006-02-15T04:44:00.000+05:30
57,Madagascar,2006-02-15T04:44:00.000+05:30
58,Malawi,2006-02-15T04:44:00.000+05:30
59,Malaysia,2006-02-15T04:44:00.000+05:30
60,Mexico,2006-02-15T04:44:00.000+05:30
61,Moldova,2006-02-15T04:44:00.000+05:30
62,Morocco,2006-02-15T04:44:00.000+05:30
63,Mozambique,2006-02-15T04:44:00.000+05:30
64,Myanmar,2006-02-15T04:44:00.000+05:30
65,Nauru,2006-02-15T04:44:00.000+05:30
66,Nepal,2006-02-15T04:44:00.000+05:30
67,Netherlands,2006-02-15T04:44:00.000+05:30
68,New Zealand,2006-02-15T04:44:00.000+05:30
69,Nigeria,2006-02-15T04:44:00.000+05:30
70,North Korea,2006-02-15T04:44:00.000+05:30
71,Oman,2006-02-15T04:44:00.000+05:30
72,Pakistan,2006-02-15T04:44:00.000+05:30
